time,asset,yes,no,event,pnl
03/26 15:29:24,SOL,0.005,0.995,holding,
03/26 15:29:26,BTC,0.005,0.995,holding,
03/26 15:29:26,ETH,0.005,0.995,holding,
03/26 15:29:26,SOL,0.005,0.995,holding,
03/26 15:29:29,BTC,0.005,0.995,holding,
03/26 15:29:29,ETH,0.005,0.995,holding,
03/26 15:29:29,SOL,0.005,0.995,holding,
03/26 15:29:31,BTC,0.005,0.995,holding,
03/26 15:29:31,ETH,0.005,0.995,holding,
03/26 15:29:31,SOL,0.005,0.995,holding,
03/26 15:29:34,BTC,0.005,0.995,holding,
03/26 15:29:34,ETH,0.005,0.995,holding,
03/26 15:29:34,SOL,0.005,0.995,holding,
03/26 15:29:36,BTC,0.005,0.995,holding,
03/26 15:29:36,ETH,0.005,0.995,holding,
03/26 15:29:37,SOL,0.005,0.995,holding,
03/26 15:29:39,BTC,0.005,0.995,holding,
03/26 15:29:39,ETH,0.005,0.995,holding,
03/26 15:29:39,SOL,0.005,0.995,holding,
03/26 15:29:41,BTC,0.005,0.995,holding,
03/26 15:29:42,ETH,0.005,0.995,holding,
03/26 15:29:42,SOL,0.005,0.995,holding,
03/26 15:29:44,BTC,0.006,0.994,holding,
03/26 15:29:44,ETH,0.0055,0.9945,holding,
03/26 15:29:44,SOL,0.005,0.995,holding,
03/26 15:29:47,BTC,0.0055,0.9945,holding,
03/26 15:29:47,ETH,0.0055,0.9945,holding,
03/26 15:29:47,SOL,0.005,0.995,holding,
03/26 15:29:49,BTC,0.006,0.994,holding,
03/26 15:29:49,ETH,0.0015,0.9985,holding,
03/26 15:29:49,SOL,0.005,0.995,holding,
03/26 15:29:52,BTC,0.006,0.994,holding,
03/26 15:29:52,ETH,0.0015,0.9985,holding,
03/26 15:29:52,SOL,0.005,0.995,holding,
03/26 15:29:54,BTC,0.0055,0.9945,holding,
03/26 15:29:55,ETH,0.0015,0.9985,holding,
03/26 15:29:55,SOL,0.005,0.995,holding,
03/26 15:29:57,BTC,0.0015,0.9985,holding,
03/26 15:29:57,ETH,0.0015,0.9985,holding,
